vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,airport_fee,total_amount,payment_type,distance_between_service,time_between_service,trip_type,imp_surcharge,pickup_location_id,dropoff_location_id,data_file_year,data_file_month
1,2021-07-01 09:49:16.000000 UTC,2021-07-01 15:19:48.000000 UTC,N,5.0,1,37.6,0,0,0,0,0,,,0,2.0,,,2.0,0,82,129,2021,7
1,2021-07-01 11:13:03.000000 UTC,2021-07-01 11:13:03.000000 UTC,Y,5.0,1,0,0,0,0,0,0,,,0,2.0,,,1.0,0,65,264,2021,7
2,2021-07-01 13:06:07.000000 UTC,2021-07-01 13:07:16.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-01 16:08:29.000000 UTC,2021-07-01 16:09:49.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-01 16:23:14.000000 UTC,2021-07-01 16:23:57.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-01 16:04:39.000000 UTC,2021-07-01 16:06:10.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
1,2021-07-01 18:33:14.000000 UTC,2021-07-01 18:44:52.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,35,76,2021,7
2,2021-07-01 18:14:23.000000 UTC,2021-07-01 18:14:35.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
1,2021-07-02 07:13:33.000000 UTC,2021-07-02 07:15:31.000000 UTC,N,5.0,0,0.3,0,0,0,0,0,,,0,3.0,,,2.0,0,129,129,2021,7
2,2021-07-02 09:08:50.000000 UTC,2021-07-02 09:09:28.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-02 09:15:54.000000 UTC,2021-07-02 09:16:44.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
1,2021-07-02 10:02:54.000000 UTC,2021-07-02 10:10:45.000000 UTC,N,5.0,2,1.6,0,0,0,0,0,,,0,2.0,,,2.0,0,173,92,2021,7
1,2021-07-02 10:54:10.000000 UTC,2021-07-02 13:21:37.000000 UTC,N,5.0,1,13.6,0,0,0,0,0,,,0,2.0,,,2.0,0,129,196,2021,7
2,2021-07-02 10:15:11.000000 UTC,2021-07-02 10:16:14.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,2.0,,,1.0,0,264,264,2021,7
1,2021-07-02 12:10:58.000000 UTC,2021-07-02 12:27:51.000000 UTC,N,5.0,0,1.7,0,0,0,0,0,,,0,2.0,,,2.0,0,82,129,2021,7
2,2021-07-02 14:11:33.000000 UTC,2021-07-02 14:12:57.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,2.0,,,1.0,0,207,207,2021,7
1,2021-07-02 15:48:33.000000 UTC,2021-07-02 16:13:10.000000 UTC,N,5.0,1,3.1,0,0,0,0,0,,,0,2.0,,,2.0,0,74,244,2021,7
1,2021-07-03 15:39:21.000000 UTC,2021-07-03 15:39:21.000000 UTC,Y,5.0,1,0,0,0,0,0,0,,,0,2.0,,,1.0,0,173,264,2021,7
1,2021-07-04 10:41:20.000000 UTC,2021-07-04 10:41:20.000000 UTC,Y,5.0,1,0,0,0,0,0,0,,,0,2.0,,,1.0,0,92,264,2021,7
1,2021-07-04 14:12:59.000000 UTC,2021-07-04 15:57:48.000000 UTC,N,5.0,1,21.3,0,0,0,0,0,,,0,2.0,,,2.0,0,95,57,2021,7
1,2021-07-04 17:37:43.000000 UTC,2021-07-04 19:24:17.000000 UTC,N,5.0,2,26.4,0,0,0,0,0,,,0,2.0,,,2.0,0,127,10,2021,7
2,2021-07-05 17:55:51.000000 UTC,2021-07-05 17:56:37.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,264,264,2021,7
2,2021-07-06 07:18:10.000000 UTC,2021-07-06 07:20:06.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-06 15:00:10.000000 UTC,2021-07-06 15:03:15.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-06 16:54:08.000000 UTC,2021-07-06 16:55:16.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,2.0,,,1.0,0,193,193,2021,7
2,2021-07-06 17:11:29.000000 UTC,2021-07-06 17:12:25.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-06 18:15:57.000000 UTC,2021-07-06 18:16:50.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-06 18:17:41.000000 UTC,2021-07-06 18:17:57.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-06 18:30:24.000000 UTC,2021-07-06 18:31:11.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-07 12:03:37.000000 UTC,2021-07-07 12:10:18.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,7,193,2021,7
1,2021-07-07 15:58:28.000000 UTC,2021-07-07 15:59:30.000000 UTC,Y,5.0,1,0.6,0,0,0,0,0,,,0,3.0,,,2.0,0,82,82,2021,7
1,2021-07-08 07:55:56.000000 UTC,2021-07-08 08:11:34.000000 UTC,N,5.0,3,1.5,0,0,0,0,0,,,0,2.0,,,2.0,0,57,173,2021,7
1,2021-07-08 08:13:38.000000 UTC,2021-07-08 10:09:57.000000 UTC,N,5.0,1,24.4,0,0,0,0,0,,,0,2.0,,,2.0,0,173,82,2021,7
2,2021-07-08 09:32:29.000000 UTC,2021-07-08 09:33:42.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,2.0,,,1.0,0,193,193,2021,7
1,2021-07-08 11:04:46.000000 UTC,2021-07-08 15:38:05.000000 UTC,N,5.0,2,34.6,0,0,0,0,0,,,0,2.0,,,2.0,0,130,173,2021,7
2,2021-07-08 14:05:43.000000 UTC,2021-07-08 14:06:43.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-08 15:36:40.000000 UTC,2021-07-08 15:37:55.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,7,2021,7
2,2009-01-01 01:45:46.000000 UTC,2009-01-01 01:47:06.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,2.0,,,1.0,0,193,193,2021,7
2,2021-07-08 18:06:56.000000 UTC,2021-07-09 16:10:26.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-08 16:52:48.000000 UTC,2021-07-08 16:53:06.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-09 08:12:13.000000 UTC,2021-07-09 08:13:56.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,1.0,,,1.0,0,193,193,2021,7
2,2021-07-09 09:34:35.000000 UTC,2021-07-09 09:34:40.000000 UTC,N,1.0,1,0,0,0,0,0,0,,,0,2.0,,,1.0,0,193,193,2021,7
